,precipIntensity,precipProbability,temperature,windSpeed,label
991,0.0,0.0,49.47,17.46,0
992,0.0,0.0,49.26,16.62,0
993,0.0,0.0,48.31,15.31,0
994,0.0,0.0,46.63,12.97,0
995,0.0,0.0,45.41,8.94,0
996,0.0,0.0,44.46,7.89,0
997,0.0,0.0,43.15,8.0,0
998,0.0,0.0,43.09,8.41,0
999,0.0,0.0,42.88,7.78,0
1000,0.0,0.0,42.24,6.75,0
1001,0.0,0.0,41.78,7.63,0
1002,0.0,0.0,42.24,7.54,0
1003,0.0,0.0,42.36,6.95,0
1004,0.0,0.0,42.23,6.28,0
1005,0.0,0.0,41.2,6.36,0
1006,0.0,0.0,41.03,6.78,0
1007,0.0,0.0,40.56,6.69,0
1008,0.0,0.0,40.36,9.12,0
1009,0.0,0.0,39.71,7.59,0
1010,0.0,0.0,34.43,5.79,0
1011,0.0,0.0,33.89,6.28,0
1012,0.0,0.0,33.88,5.3,0
1013,0.0,0.0,34.42,6.89,0
1014,0.0,0.0,34.8,10.13,0
1015,0.0,0.0,34.36,10.16,0
1016,0.0,0.0,34.08,8.43,0
1017,0.0,0.0,34.07,7.27,0
1018,0.0,0.0,33.77,8.64,0
1019,0.0,0.0,33.78,8.54,0
1020,0.0,0.0,33.77,8.88,0
1021,0.0,0.0,33.84,10.44,0
1022,0.0,0.0,33.76,8.73,0
1023,0.0,0.0,33.84,9.78,0
1024,0.0,0.0,33.88,8.61,0
1025,0.0,0.0,33.87,8.39,0
1026,0.0,0.0,33.82,7.9,0
1027,0.0,0.0,33.44,7.76,0
1028,0.0,0.0,33.28,6.72,0
1029,0.0,0.0,33.31,7.1,0
1030,0.0,0.0,33.28,6.94,0
1031,0.0,0.0,33.27,5.65,0
1032,0.0,0.0,33.26,4.13,0
1033,0.0,0.0,33.46,3.68,0
1034,0.0,0.0,33.59,4.0,0
1035,0.0,0.0,33.74,4.02,0
1036,0.001,0.19,33.73,4.44,0
1037,0.003,0.28,33.7,3.98,0
1038,0.001,0.05,33.82,2.63,0
1039,0.0,0.0,33.58,0.51,0
1040,0.0,0.0,32.66,1.05,0
1041,0.0,0.0,32.5,0.59,0
1042,0.002,0.09,32.4,0.09,0
1043,0.0,0.0,31.89,0.51,0
1044,0.0,0.0,31.61,0.86,0
1045,0.0,0.0,31.25,0.82,0
1046,0.0,0.0,30.89,0.85,0
1047,0.0,0.0,30.9,1.62,0
1048,0.0,0.0,31.2,1.09,0
1049,0.0,0.0,31.67,1.13,0
1050,0.0,0.0,32.0,1.61,0
1051,0.0,0.0,32.6,1.97,0
1052,0.0,0.0,32.97,0.91,0
1053,0.0,0.0,33.29,0.83,0
1054,0.0,0.0,33.26,1.33,0
1055,0.0,0.0,33.53,3.09,0
1056,0.0,0.0,33.68,2.22,0
1057,0.0,0.0,39.39,4.63,1
1058,0.0,0.0,41.01,4.48,1
1059,0.002,0.6,40.72,6.01,0
1060,0.0,0.0,41.67,6.7,0
1061,0.0,0.0,40.95,7.07,0
1062,0.0,0.0,39.98,8.4,0
1063,0.0,0.0,39.31,6.75,0
1064,0.0,0.0,39.22,7.32,0
1065,0.0,0.0,39.11,7.05,0
1066,0.0,0.0,39.14,5.92,0
1067,0.0,0.0,39.39,4.33,0
1068,0.0,0.0,39.23,6.87,0
1069,0.0,0.0,39.12,6.55,0
1070,0.0,0.0,39.08,4.2,0
1071,0.0,0.0,38.95,0.51,0
1072,0.0,0.0,38.59,1.07,0
1073,0.0,0.0,38.49,2.06,0
1074,0.0,0.0,38.57,3.8,0
1075,0.0,0.0,38.71,4.13,0
1076,0.0,0.0,38.75,4.75,0
1077,0.0,0.0,38.42,4.99,0
1078,0.0,0.0,37.86,4.75,0
1079,0.0,0.0,38.17,4.62,0
1080,0.0,0.0,38.99,4.05,0
1081,0.0,0.0,39.42,4.07,0
1082,0.0,0.0,40.46,4.12,0
1083,0.0,0.0,40.44,4.9,0
1084,0.0,0.0,39.98,5.05,0
1085,0.0,0.0,38.22,5.97,0
1086,0.0,0.0,38.39,5.16,0
1087,0.0,0.0,37.92,3.79,0
1088,0.0,0.0,37.72,4.33,0
1089,0.0,0.0,37.69,4.91,0
1090,0.0,0.0,37.17,5.03,0
1091,0.0,0.0,37.16,5.53,0
1092,0.0,0.0,37.04,5.26,0
1093,0.0,0.0,36.94,5.36,0
1094,0.0,0.0,36.19,3.87,0
1095,0.0,0.0,35.96,3.7,0
1096,0.0,0.0,35.96,4.75,0
1097,0.0,0.0,35.95,5.95,0
1098,0.0,0.0,35.98,6.53,0
1099,0.0,0.0,35.73,6.67,0
1100,0.005,0.38,35.03,5.84,0
1101,0.004,0.42,34.95,7.37,0
1102,0.002,0.09,34.37,8.56,0
1103,0.0,0.0,34.44,8.75,0
1104,0.0,0.0,34.79,9.83,0
1105,0.0,0.0,34.2,8.59,0
1106,0.0,0.0,28.8,2.06,1
1107,0.0,0.0,29.69,2.51,1
1108,0.0,0.0,31.21,3.78,0
1109,0.0,0.0,32.36,5.49,0
1110,0.0,0.0,33.45,4.49,0
1111,0.0,0.0,34.98,4.28,0
1112,0.004,0.49,35.92,5.0,0
1113,0.016,1.0,36.53,5.6,0
1114,0.016,0.69,36.33,6.0,0
1115,0.062,1.0,35.87,5.4,0
1116,0.028999999999999998,0.96,36.49,4.81,0
1117,0.023,0.65,37.22,3.71,0
1118,0.0,0.0,37.07,3.52,0
1119,0.001,0.07,36.64,2.9,0
1120,0.005,0.54,36.68,1.01,0
1121,0.053,0.55,35.82,1.69,0
1122,0.032,0.89,35.85,0.36,0
1123,0.016,0.71,35.49,0.69,0
1124,0.009000000000000001,0.71,35.22,2.8,0
1125,0.006999999999999999,0.57,34.06,3.96,0
1126,0.001,0.12,33.87,3.7,0
1127,0.001,0.13,34.18,6.02,0
1128,0.011000000000000001,1.0,33.55,5.71,0
1129,0.006,0.57,33.19,7.22,0
1130,0.001,0.32,33.32,8.9,0
1131,0.003,0.3,33.46,7.7,0
1132,0.001,0.12,33.87,7.32,0
1133,0.006999999999999999,0.4,34.96,9.1,0
1134,0.019,0.68,36.29,8.67,0
1135,0.027999999999999997,1.0,37.78,7.79,0
1136,0.013000000000000001,0.53,39.31,9.65,0
1137,0.004,0.06,39.38,9.87,0
1138,0.004,0.07,39.38,10.64,0
1139,0.001,0.06,39.03,9.7,0
1140,0.0,0.0,37.99,6.44,0
1141,0.0,0.0,36.27,5.11,0
1142,0.0,0.0,35.04,4.41,0
1143,0.0,0.0,33.9,3.42,0
1144,0.0,0.0,33.68,2.56,0
1145,0.0,0.0,32.58,2.7,0
1146,0.0,0.0,31.91,2.77,0
1147,0.0,0.0,31.47,3.66,0
1148,0.0,0.0,31.15,3.24,0
1149,0.0,0.0,29.49,2.51,0
1150,0.0,0.0,29.1,2.68,0
1151,0.0,0.0,28.6,1.85,0
1152,0.0,0.0,28.37,1.83,0
1153,0.0,0.0,27.66,1.52,0
1154,0.0,0.0,27.12,2.39,0
1155,0.0,0.0,34.39,0.0,1
1156,0.0,0.0,33.34,0.0,1
1157,0.0,0.0,32.06,0.39,1
1158,0.0,0.0,32.5,0.6,1
1159,0.0,0.0,32.94,0.96,1
1160,0.0,0.0,32.91,0.15,1
1161,0.0,0.0,32.44,0.41,1
1162,0.0,0.0,31.09,1.06,1
1163,0.0,0.0,30.79,0.91,1
1164,0.0,0.0,29.93,0.39,1
1165,0.0,0.0,29.73,0.32,1
1166,0.0,0.0,31.53,1.09,1
1167,0.0,0.0,35.59,3.14,1
1168,0.0,0.0,39.01,2.8,1
1169,0.0,0.0,41.95,5.12,1
1170,0.0,0.0,45.07,4.48,1
1171,0.0,0.0,45.84,5.19,1
1172,0.0,0.0,46.04,6.37,1
1173,0.0,0.0,45.61,6.55,1
1174,0.0,0.0,45.0,7.69,1
1175,0.0,0.0,42.88,5.2,1
1176,0.0,0.0,39.71,3.08,1
1177,0.0,0.0,36.7,3.34,1
1178,0.0,0.0,34.43,2.99,1
1179,0.0,0.0,33.41,1.59,1
1180,0.0,0.0,32.82,1.39,1
1181,0.0,0.0,31.76,3.21,1
1182,0.0,0.0,31.64,2.04,1
1183,0.0,0.0,31.52,0.55,1
1184,0.0,0.0,30.65,1.41,1
1185,0.0,0.0,30.42,2.36,1
1186,0.0,0.0,31.16,2.48,1
1187,0.0,0.0,31.12,1.03,1
1188,0.0,0.0,31.47,2.2,1
1189,0.0,0.0,31.7,3.37,1
1190,0.0,0.0,32.35,3.0,1
1191,0.0,0.0,34.47,3.35,1
1192,0.0,0.0,36.68,4.55,0
1193,0.0,0.0,38.76,4.78,0
1194,0.0,0.0,40.18,6.72,0
1195,0.0,0.0,41.57,8.37,0
1196,0.0,0.0,42.21,8.12,0
1197,0.0,0.0,41.69,9.12,0
1198,0.0,0.0,40.77,8.89,0
1199,0.0,0.0,39.4,7.29,0
1200,0.0,0.0,36.46,6.34,0
1201,0.0,0.0,35.85,4.88,0
1202,0.0,0.0,35.22,6.14,0
1203,0.0,0.0,34.62,6.69,0
1204,0.0,0.0,35.09,7.59,0
1205,0.0,0.0,34.64,6.81,0
1206,0.0,0.0,34.14,6.29,0
1207,0.0,0.0,34.09,5.25,0
1208,0.0,0.0,33.51,4.57,0
1209,0.0,0.0,32.46,5.62,0
1210,0.0,0.0,32.13,5.77,0
1211,0.0,0.0,31.81,4.28,0
1212,0.0,0.0,31.29,4.56,0
1213,0.0,0.0,32.54,5.63,0
1214,0.0,0.0,35.43,3.81,0
1215,0.0,0.0,39.33,7.03,0
1216,0.0,0.0,41.4,8.91,0
1217,0.0,0.0,43.08,10.3,0
1218,0.0,0.0,43.52,11.23,0
1219,0.0,0.0,44.33,9.92,0
1220,0.0,0.0,43.82,9.28,0
1221,0.0,0.0,43.31,8.85,0
1222,0.0,0.0,41.92,7.47,0
1223,0.0,0.0,37.59,5.65,0
1224,0.0,0.0,34.89,4.5,0
1225,0.0,0.0,32.97,2.92,0
1226,0.0,0.0,31.64,0.7,0
1227,0.0,0.0,29.07,0.09,0
1228,0.0,0.0,27.74,0.15,0
1229,0.0,0.0,26.65,1.1,0
1230,0.0,0.0,26.42,0.18,0
1231,0.0,0.0,26.13,0.21,0
1232,0.0,0.0,26.31,1.22,0
1233,0.0,0.0,27.48,2.93,0
1234,0.0,0.0,27.66,1.66,0
1235,0.0,0.0,27.19,4.22,0
1236,0.0,0.0,27.03,4.06,0
1237,0.0,0.0,29.07,4.59,0
1238,0.0,0.0,36.25,3.27,0
1239,0.0,0.0,37.02,4.37,0
1240,0.0,0.0,41.28,9.23,0
1241,0.0,0.0,46.43,12.33,0
1242,0.0,0.0,49.24,14.15,0
1243,0.0,0.0,52.06,12.51,0
1244,0.0,0.0,52.58,12.98,0
1245,0.0,0.0,54.62,11.88,0
1246,0.0,0.0,55.03,10.51,0
1247,0.0,0.0,55.89,9.43,0
1248,0.0,0.0,55.62,11.37,0
1249,0.0,0.0,54.18,11.73,0
1250,0.0,0.0,53.77,11.32,0
1251,0.0,0.0,51.87,8.37,0
1252,0.0,0.0,48.6,5.67,0
1253,0.0,0.0,45.85,4.62,0
1254,0.0,0.0,43.8,3.85,0
1255,0.0,0.0,42.16,4.17,0
1256,0.0,0.0,39.78,3.63,0
1257,0.0,0.0,38.08,0.28,0
1258,0.0,0.0,36.95,1.71,0
1259,0.0,0.0,35.71,1.24,0
1260,0.0,0.0,34.61,0.94,0
1261,0.0,0.0,33.88,1.42,0
1262,0.0,0.0,33.26,1.73,0
1263,0.0,0.0,34.09,4.13,0
1264,0.0,0.0,38.07,5.06,0
1265,0.0,0.0,42.47,6.82,0
1266,0.0,0.0,45.82,5.26,0
1267,0.0,0.0,48.09,6.56,0
1268,0.0,0.0,48.86,7.83,0
1269,0.0,0.0,50.53,7.07,0
1270,0.0,0.0,50.97,6.06,0
1271,0.0,0.0,50.87,7.37,0
1272,0.0,0.0,52.05,7.21,0
1273,0.0,0.0,51.76,5.79,0
1274,0.0,0.0,51.22,6.16,0
1275,0.0,0.0,49.8,4.56,0
1276,0.0,0.0,46.91,4.31,0
1277,0.0,0.0,43.06,3.27,0
1278,0.0,0.0,40.59,2.49,0
1279,0.0,0.0,39.16,2.22,0
1280,0.0,0.0,37.56,0.12,0
1281,0.0,0.0,36.61,0.06,0
1282,0.0,0.0,35.32,0.33,0
1283,0.0,0.0,34.11,0.03,0
1284,0.0,0.0,33.17,0.67,0
1285,0.0,0.0,49.17,4.17,0
1286,0.037000000000000005,1.0,43.13,14.87,1
1287,0.01,0.43,43.19,16.26,1
1288,0.01,0.4,43.0,17.99,1
1289,0.021,0.48,41.8,17.22,1
1290,0.013999999999999999,0.16,41.23,16.17,1
1291,0.01,0.31,41.47,17.47,1
1292,0.015,0.48,41.34,13.29,1
1293,0.021,0.54,41.2,14.08,1
1294,0.036000000000000004,0.84,40.76,14.32,1
1295,0.011000000000000001,0.37,40.89,13.36,1
1296,0.001,0.12,41.7,10.97,1
1297,0.0,0.0,42.48,9.66,1
1298,0.0,0.0,41.83,7.43,1
1299,0.0,0.0,41.62,5.35,1
1300,0.0,0.0,41.55,6.52,1
1301,0.0,0.0,42.09,6.41,1
1302,0.0,0.0,42.01,8.66,1
1303,0.0,0.0,42.69,8.98,1
1304,0.0,0.0,42.87,9.2,1
1305,0.0,0.0,42.66,7.4,1
1306,0.0,0.0,42.65,9.09,1
1307,0.0,0.0,42.63,8.26,1
1308,0.001,0.34,43.58,10.18,0
1309,0.006,0.34,43.22,12.94,0
1310,0.002,0.34,44.55,13.6,0
1311,0.0,0.0,45.01,14.33,0
